2.000000000000000000e+00,3.068783068783068613e-01,9.514230368052450926e-02
3.000000000000000000e+00,5.630110630110629621e-01,2.401281478170168293e-01
4.000000000000000000e+00,7.683982683982684136e-01,4.468037550290567816e-01
5.000000000000000000e+00,8.588263588263588266e-01,5.609447176277753133e-01
6.000000000000000000e+00,8.864838864838864296e-01,6.054239308597824110e-01
7.000000000000000000e+00,9.081289081289081189e-01,6.398450305468633692e-01
8.000000000000000000e+00,9.199134199134199052e-01,6.582476531068395253e-01
9.000000000000000000e+00,9.276094276094276614e-01,6.715839666219639570e-01
1.000000000000000000e+01,9.319384319384319548e-01,6.794069438235732505e-01
1.200000000000000000e+01,9.398749398749398631e-01,7.008642527194158811e-01
1.400000000000000000e+01,9.430014430014429516e-01,7.083147071971390707e-01
1.500000000000000000e+01,9.463684463684464143e-01,7.161376843987483642e-01
1.600000000000000000e+01,9.499759499759500292e-01,7.250782297720160807e-01
1.800000000000000000e+01,9.581529581529582007e-01,7.495902250037251857e-01
2.100000000000000000e+01,9.629629629629629095e-01,7.652361794069437728e-01
2.200000000000000000e+01,9.680134680134679925e-01,7.855759201311279805e-01
2.400000000000000000e+01,9.735449735449734909e-01,8.061391744896438949e-01
3.400000000000000000e+01,9.814814814814815103e-01,8.637311876024437174e-01
3.500000000000000000e+01,9.896584896584896818e-01,9.080613917448964179e-01
4.400000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00
